educ,fatheduc,lwage
12,7,1.210154
12,7,.3285121
12,7,1.514138
12,7,.0921233
14,14,1.524272
12,7,1.55648
16,7,2.12026
12,3,2.059634
12,7,.7543364
12,7,1.544899
12,3,1.401922
11,7,1.524272
12,16,.7339532
12,10,.8183691
10,7,1.302831
11,10,.2980284
12,7,1.16761
12,12,1.643839
12,7,.6931472
12,7,2.021932
16,16,1.254248
12,10,1.272958
13,3,1.178655
12,7,1.178655
12,7,.7675587
17,14,1.331812
12,7,1.386294
12,7,1.55327
17,12,1.981815
12,12,1.76936
11,7,.4308079
16,3,.8997548
13,10,1.76663
12,14,1.272958
16,12,1.336789
11,3,.9017048
12,3,.8651237
10,3,1.511847
14,7,1.726029
17,17,2.683142
12,12,.9852943
12,9,1.365939
16,16,.9450337
12,3,1.512376
12,7,.6931472
12,7,1.244788
16,16,.7011649
12,10,1.519863
12,7,.8209686
12,7,.9698315
12,7,.8285082
12,3,.0943096
12,7,.1625439
8,7,.4700036
10,3,.6292484
16,12,1.39716
14,7,2.265444
17,17,2.084541
14,7,1.525839
12,7,.7621601
14,3,1.481605
12,12,1.262826
8,7,.9996756
12,7,1.832582
12,7,2.479308
8,12,1.279015
17,16,1.937936
12,7,1.070453
12,7,1.123923
12,7,1.321756
12,12,1.745
12,10,1.301744
9,9,1.641866
10,0,2.10702
12,10,1.467068
12,14,1.605811
12,7,-1.029739
17,3,1.087686
15,12,0
12,12,.9382087
6,7,-.1505904
14,17,0
12,3,1.073671
14,7,1.265848
9,7,.486369
17,12,2.12026
13,7,1.129853
9,7,.9932518
15,12,1.658628
12,10,.3474122
12,0,1.568324
12,12,.5108456
12,10,.1148454
12,7,-.6931472
12,7,-.3364523
12,7,1.028226
12,3,1.580689
13,12,.5558946
12,7,.9014207
13,12,.8843046
12,7,.4282046
12,7,1.058415
12,10,.8783396
16,14,1.654908
12,7,1.321756
13,12,.3285121
11,7,1.386294
12,7,1.172885
12,10,1.224187
12,7,.2876571
17,12,2.230262
14,7,1.504077
16,7,1.531152
17,17,1.375158
12,7,1.760269
11,7,-.6931472
12,7,1.406489
12,10,1.791759
17,10,1.299292
10,12,1.351004
13,7,1.016281
11,12,1.075344
12,7,1.478965
16,10,1.689487
17,7,2.288598
12,10,-1.822631
16,7,-.9607652
12,7,1.290994
16,7,.8648711
8,7,1.540452
12,7,.6162121
12,7,1.648659
12,16,1.193498
13,12,2.143976
11,7,.7244036
12,3,.9416075
12,7,.7827594
14,7,1.832582
12,7,1.203963
12,12,1.491645
12,7,1.892133
17,12,2.130895
14,12,1.480604
12,14,.8943313
9,7,.2025325
12,7,.4855078
12,7,1.098612
12,12,1.55327
14,12,.121598
16,14,2.001804
17,10,1.495037
15,12,.9052298
12,7,.6325476
16,16,1.386294
17,7,2.102914
17,17,1.959644
12,3,.5108456
16,10,1.236924
13,9,1.443313
12,7,1.021659
11,3,.6361535
16,16,1.616453
14,12,.2231435
16,7,1.049807
12,7,1.415052
9,7,.5753766
17,12,2.606682
14,3,1.517915
12,7,.7550416
12,7,1.094972
11,7,.9421144
12,7,1.724943
12,10,1.031546
10,10,.4743691
12,7,.8109302
5,12,.7092666
17,17,1.710549
11,10,.4602689
12,7,1.331812
12,7,1.098612
14,12,2.157999
11,7,1.437581
12,12,1.544899
14,7,1.410597
12,7,3.218876
10,7,.9681619
16,7,1.791759
13,14,1.68873
12,7,-.409172
12,12,.2231435
12,7,.8221558
11,7,1.241702
12,12,1.427124
9,3,1.497097
13,7,.5596158
12,12,1.300028
12,12,1.88443
12,7,.9555114
13,7,1.582087
16,14,1.755614
12,12,1.513103
16,17,2.251892
17,17,2.364432
12,7,.1053505
12,7,1.399729
9,10,.9884625
12,7,1.090647
12,7,1.154614
13,7,1.266948
12,3,2.885192
12,0,1.22888
12,7,1.203963
12,12,1.35738
10,7,.8377236
12,7,.5369611
16,12,.7487238
12,7,2.295873
11,7,1.107803
12,12,.6208453
10,7,-2.054164
12,7,1.892012
12,3,1.729725
12,7,.4693784
12,7,.9808417
16,10,2.069492
17,12,1.675188
12,7,1.386294
17,12,1.799215
12,7,1.832582
12,7,1.090647
12,7,1.443124
8,7,1.25036
12,12,1.602313
13,7,1.018559
12,7,1.297053
12,7,1.685194
8,7,-.4209849
12,7,1.562095
17,14,2.146528
17,17,2.347463
12,7,.9698315
13,10,1.924146
12,7,1.626728
12,7,-.0392607
12,12,1.460149
12,7,1.955394
9,7,.9263599
10,9,2.066192
12,7,1.422843
16,14,2.101032
13,7,2.261461
8,3,.7013138
16,16,2.031013
13,3,1.162369
12,16,.4700036
11,7,1.410597
13,16,.3930551
12,12,1.290994
12,7,0
10,7,.9571255
12,12,.5596158
17,12,1.568616
15,12,1.710188
16,16,1.410597
10,7,.2231435
11,9,.5108456
12,7,1.332392
12,12,.8601859
14,12,2.32278
16,10,1.919595
14,7,1.976107
8,12,.8954347
7,7,.1812376
12,7,.4953058
12,3,.5777924
14,10,1.078818
12,17,1.603199
12,7,.6208453
12,3,2.083894
14,3,1.379169
16,12,1.112384
12,7,1.067122
12,7,1.118807
12,7,1.588541
13,10,1.390311
13,7,1.714806
10,10,.2010615
12,7,.987271
12,9,.9835007
12,9,2.233171
12,12,1.143618
14,12,-.6113829
17,12,2.153052
10,7,1.299837
9,9,.8409204
12,12,1.058484
12,7,1.152658
16,12,1.293576
12,7,1.832582
17,12,2.32718
12,12,1.166146
17,14,2.034993
11,7,.6792511
16,14,1.547137
11,10,.7530186
13,12,.8472836
11,7,.871126
8,7,.2282505
11,12,.0896578
12,7,1.321756
10,7,1.196102
17,12,1.636119
12,12,1.892012
12,12,1.518309
17,12,2.472159
14,14,1.321756
12,10,1.473641
12,7,1.369479
12,7,1.203963
12,7,1.198729
12,7,1.27021
12,7,.4700036
9,7,.7999817
10,7,1.565946
12,7,1.758978
12,7,.8580258
12,12,.6931472
12,12,.6418539
12,7,1.63374
17,14,1.703748
12,10,1.844004
17,12,1.966119
12,7,.8649974
10,7,.9333052
12,12,.7792332
12,7,.9555114
12,10,1.316247
12,12,1.475906
12,10,1.491397
12,7,1.45575
16,14,.5108456
13,7,1.180438
13,12,1.688489
12,12,.7907275
16,7,1.401799
17,16,-.433556
12,0,1.683172
14,12,-1.766677
12,7,3.155595
17,17,2.259521
12,7,1.306926
14,12,.7984977
12,3,.5590442
12,7,.1479026
17,14,1.944495
16,7,1.378338
16,12,3.064745
12,12,-.7419173
9,7,.7657004
12,7,.619393
12,14,1.465452
16,7,2.18926
14,12,1.021659
12,12,.9770095
12,7,.9162908
11,7,2.905096
12,7,-.1996712
16,7,.6931472
17,3,2.733393
17,12,1.868335
14,7,2.12026
12,7,1.515193
14,14,.9146093
12,10,1.499556
10,10,.8030772
12,10,.7280316
13,10,.51641
16,12,1.226448
12,3,.9162908
7,7,1.376471
16,16,1.828975
14,7,1.368283
12,7,1.064711
10,0,1.406489
12,7,1.047319
16,7,1.948093
10,10,1.078001
12,7,.6539385
14,12,1.927892
12,7,1.361028
6,7,.6931472
15,7,1.604687
12,7,.1839036
17,16,3.113515
14,12,1.926829
13,10,1.270126
6,7,.6826927
16,7,1.68107
14,16,.556296
15,7,1.62822
14,7,.9162908
8,7,1.341558
14,12,0
12,10,1.122231
12,10,.5401708
12,10,1.391506
12,7,1.697174
12,10,3.218876
12,12,.8711678
8,12,1.16733
12,7,1.216988
17,17,.5753766
12,12,1.151616
12,16,.9942513
14,10,.5263249
13,16,-1.543182
17,7,1.912043
8,7,.5542873
12,9,.9162908
11,3,1.500939
12,7,.9446838
12,7,1.241269
17,7,1.564984
10,7,.8380265
12,7,1.668857
13,7,1.769429
12,16,1.226448
12,12,1.406489
