store,upc,week,move,price,profit,descrip,custcoun,Brand
5,1200000230,1,158,.02498963,20.12,"PEPSI COLA N/R",18820,12000
5,1200000394,1,47,.01949219,4.02,"PEPSI COLA N.R. BOTT",18820,12000
5,1200000396,1,43,.01949219,4.02,"DIET PEPSI N.R. BOTT",18820,12000
5,1200000492,1,49,.02498963,20.12,"CAFFEINE FREE PEPSI",18820,12000
5,1200000496,1,61,.02498963,20.12,"DIET PEPSI CAFFEINE",18820,12000
5,3828100261,1,66,.02083333,33.6,"DOM ORANGE SODA",18820,38281
5,4900000634,1,28,.03875,22.94,"COCA-COLA CLASSIC CA",18820,49000
5,4900000639,1,109,.02498963,20.12,"COCA-COLA CLASSIC",18820,49000
5,4900000658,1,12,.03875,22.94,"COKE DIET CANS",18820,49000
5,5490000060,1,118,.01759625,13.45,"DR PEPPER",18820,54900
5,1200000230,2,31,.02498963,20.12,"PEPSI COLA N/R",19258,12000
5,1200000394,2,7,.02335938,20.07,"PEPSI COLA N.R. BOTT",19258,12000
5,1200000396,2,2,.02335938,20.07,"DIET PEPSI N.R. BOTT",19258,12000
5,1200000492,2,10,.02498963,20.12,"CAFFEINE FREE PEPSI",19258,12000
5,1200000496,2,14,.02498963,20.12,"DIET PEPSI CAFFEINE",19258,12000
5,3828100261,2,4,.02083333,33.6,"DOM ORANGE SODA",19258,38281
5,4900000634,2,27,.03875,22.94,"COCA-COLA CLASSIC CA",19258,49000
5,4900000639,2,11,.01759625,13.45,"COCA-COLA CLASSIC",19258,49000
5,4900000658,2,20,.03875,22.94,"COKE DIET CANS",19258,49000
5,5490000060,2,21,.02498963,20.12,"DR PEPPER",19258,54900
5,1200000230,3,18,.02498963,20.12,"PEPSI COLA N/R",19179,12000
5,1200000394,3,7,.02335938,20.07,"PEPSI COLA N.R. BOTT",19179,12000
5,1200000396,3,3,.02335938,20.07,"DIET PEPSI N.R. BOTT",19179,12000
5,1200000492,3,8,.02498963,20.12,"CAFFEINE FREE PEPSI",19179,12000
5,1200000496,3,17,.02498963,20.12,"DIET PEPSI CAFFEINE",19179,12000
5,3828100261,3,5,.02083333,33.2,"DOM ORANGE SODA",19179,38281
5,4900000634,3,15,.02763889,8.04,"COCA-COLA CLASSIC CA",19179,49000
5,4900000639,3,16,.02498963,20.12,"COCA-COLA CLASSIC",19179,49000
5,4900000658,3,13,.02763889,8.04,"COKE DIET CANS",19179,49000
5,5490000060,3,1,.02498963,20.12,"DR PEPPER",19179,54900
5,1200000230,4,571,.01759625,13.45,"PEPSI COLA N/R",18898,12000
5,1200000394,4,25,.02335938,20.07,"PEPSI COLA N.R. BOTT",18898,12000
5,1200000396,4,23,.02335938,20.07,"DIET PEPSI N.R. BOTT",18898,12000
5,1200000492,4,162,.01759625,13.45,"CAFFEINE FREE PEPSI",18898,12000
5,1200000496,4,218,.01759625,13.45,"DIET PEPSI CAFFEINE",18898,12000
5,3828100261,4,213,.01388889,2.5,"DOM ORANGE SODA",18898,38281
5,4900000634,4,44,.03875,22.94,"COCA-COLA CLASSIC CA",18898,49000
5,4900000639,4,373,.01759625,13.45,"COCA-COLA CLASSIC",18898,49000
5,4900000658,4,40,.03875,22.94,"COKE DIET CANS",18898,49000
5,5490000060,4,67,.01759625,13.45,"DR PEPPER",18898,54900
5,1200000230,5,165,.02498963,20.12,"PEPSI COLA N/R",18857,12000
5,1200000394,5,22,.02335938,20.07,"PEPSI COLA N.R. BOTT",18857,12000
5,1200000396,5,15,.02335938,20.07,"DIET PEPSI N.R. BOTT",18857,12000
5,1200000492,5,53,.02498963,20.12,"CAFFEINE FREE PEPSI",18857,12000
5,1200000496,5,66,.02498963,20.12,"DIET PEPSI CAFFEINE",18857,12000
5,3828100261,5,81,.02083333,34.8,"DOM ORANGE SODA",18857,38281
5,4900000634,5,29,.03875,22.94,"COCA-COLA CLASSIC CA",18857,49000
5,4900000639,5,113,.02498963,20.12,"COCA-COLA CLASSIC",18857,49000
5,4900000658,5,23,.03875,22.94,"COKE DIET CANS",18857,49000
5,5490000060,5,21,.02498963,20.12,"DR PEPPER",18857,54900
5,1200000230,6,508,.01759625,13.45,"PEPSI COLA N/R",18794,12000
5,1200000394,6,158,.02179688,14.34,"PEPSI COLA N.R. BOTT",18794,12000
5,1200000396,6,117,.02179688,14.34,"DIET PEPSI N.R. BOTT",18794,12000
5,1200000492,6,241,.01759625,13.45,"CAFFEINE FREE PEPSI",18794,12000
5,1200000496,6,270,.01759625,13.45,"DIET PEPSI CAFFEINE",18794,12000
5,3828100261,6,75,.02083333,32.4,"DOM ORANGE SODA",18794,38281
5,4900000634,6,46,.03875,22.94,"COCA-COLA CLASSIC CA",18794,49000
5,4900000639,6,428,.01759625,13.45,"COCA-COLA CLASSIC",18794,49000
5,4900000658,6,34,.03875,22.94,"COKE DIET CANS",18794,49000
5,5490000060,6,35,.01759625,13.45,"DR PEPPER",18794,54900
5,1200000230,7,152,.02498963,20.12,"PEPSI COLA N/R",19710,12000
5,1200000394,7,30,.02335938,20.07,"PEPSI COLA N.R. BOTT",19710,12000
5,1200000396,7,19,.02335938,20.07,"DIET PEPSI N.R. BOTT",19710,12000
5,1200000492,7,66,.02498963,20.12,"CAFFEINE FREE PEPSI",19710,12000
5,1200000496,7,70,.02498963,20.12,"DIET PEPSI CAFFEINE",19710,12000
5,3828100261,7,97,.02083333,35.6,"DOM ORANGE SODA",19710,38281
5,4900000634,7,31,.03875,22.94,"COCA-COLA CLASSIC CA",19710,49000
5,4900000639,7,147,.02498963,20.12,"COCA-COLA CLASSIC",19710,49000
5,4900000658,7,33,.03875,22.94,"COKE DIET CANS",19710,49000
5,5490000060,7,16,.02498963,20.12,"DR PEPPER",19710,54900
5,1200000230,8,142,.02498963,20.12,"PEPSI COLA N/R",19410,12000
5,1200000394,8,28,.02335938,20.07,"PEPSI COLA N.R. BOTT",19410,12000
5,1200000396,8,18,.02335938,20.07,"DIET PEPSI N.R. BOTT",19410,12000
5,1200000492,8,48,.02498963,20.12,"CAFFEINE FREE PEPSI",19410,12000
5,1200000496,8,47,.02498963,20.12,"DIET PEPSI CAFFEINE",19410,12000
5,3828100261,8,74,.02083333,37.6,"DOM ORANGE SODA",19410,38281
5,4900000634,8,42,.03875,22.94,"COCA-COLA CLASSIC CA",19410,49000
5,4900000639,8,126,.02498963,20.12,"COCA-COLA CLASSIC",19410,49000
5,4900000658,8,28,.03875,22.94,"COKE DIET CANS",19410,49000
5,5490000060,8,31,.02498963,20.12,"DR PEPPER",19410,54900
5,1200000230,9,918,.0146389,36.36,"PEPSI COLA N/R",18515,12000
5,1200000394,9,25,.02335938,20.07,"PEPSI COLA N.R. BOTT",18515,12000
5,1200000396,9,16,.02335938,20.07,"DIET PEPSI N.R. BOTT",18515,12000
5,1200000492,9,374,.0146389,36.36,"CAFFEINE FREE PEPSI",18515,12000
5,1200000496,9,412,.0146389,36.36,"DIET PEPSI CAFFEINE",18515,12000
5,3828100261,9,469,.01083333,.77,"DOM ORANGE SODA",18515,38281
5,4900000634,9,33,.03875,22.94,"COCA-COLA CLASSIC CA",18515,49000
5,4900000639,9,88,.02498963,20.12,"COCA-COLA CLASSIC",18515,49000
