"","id","occasion","choice"
"1",1,"X1","2"
"2",2,"X1","2"
"3",3,"X1","0"
"4",4,"X1","0"
"5",5,"X1","0"
"6",6,"X1","0"
"7",7,"X1","0"
"8",8,"X1","2"
"9",9,"X1","1"
"10",10,"X1","2"
"11",11,"X1","2"
"12",12,"X1","0"
"13",13,"X1","0"
"14",14,"X1","0"
"15",15,"X1","2"
"16",16,"X1","1"
"17",17,"X1","1"
"18",18,"X1","2"
"19",19,"X1","1"
"20",20,"X1","1"
"21",21,"X1","0"
"22",22,"X1","0"
"23",23,"X1","0"
"24",24,"X1","0"
"25",25,"X1","2"
"26",26,"X1","2"
"27",27,"X1","2"
"28",28,"X1","0"
"29",29,"X1","2"
"30",30,"X1","1"
"31",31,"X1","2"
"32",32,"X1","2"
"33",33,"X1","2"
"34",34,"X1","1"
"35",35,"X1","2"
"36",36,"X1","2"
"37",37,"X1","0"
"38",38,"X1","1"
"39",39,"X1","2"
"40",40,"X1","2"
"41",41,"X1","0"
"42",42,"X1","0"
"43",43,"X1","2"
"44",44,"X1","2"
"45",45,"X1","2"
"46",46,"X1","0"
"47",47,"X1","1"
"48",48,"X1","1"
"49",49,"X1","0"
"50",50,"X1","2"
"51",51,"X1","2"
"52",52,"X1","0"
"53",53,"X1","1"
"54",54,"X1","2"
"55",55,"X1","0"
"56",56,"X1","2"
"57",57,"X1","0"
"58",58,"X1","1"
"59",59,"X1","0"
"60",60,"X1","2"
"61",61,"X1","1"
"62",62,"X1","2"
"63",63,"X1","2"
"64",64,"X1","1"
"65",65,"X1","0"
"66",66,"X1","1"
"67",67,"X1","1"
"68",68,"X1","2"
"69",69,"X1","0"
"70",70,"X1","1"
"71",71,"X1","2"
"72",72,"X1","2"
"73",73,"X1","0"
"74",74,"X1","2"
"75",75,"X1","0"
"76",76,"X1","1"
"77",77,"X1","2"
"78",78,"X1","2"
"79",79,"X1","0"
"80",80,"X1","0"
"81",81,"X1","0"
"82",82,"X1","1"
"83",83,"X1","1"
"84",84,"X1","0"
"85",85,"X1","0"
"86",86,"X1","0"
"87",87,"X1","2"
"88",88,"X1","2"
"89",89,"X1","2"
"90",90,"X1","0"
"91",91,"X1","0"
"92",92,"X1","2"
"93",93,"X1","2"
"94",94,"X1","2"
"95",95,"X1","2"
"96",96,"X1","0"
"97",97,"X1","2"
"98",98,"X1","2"
"99",99,"X1","2"
"100",100,"X1","1"
"101",101,"X1","2"
"102",102,"X1","1"
"103",103,"X1","2"
"104",104,"X1","0"
"105",105,"X1","2"
"106",106,"X1","1"
"107",107,"X1","1"
"108",108,"X1","0"
"109",109,"X1","1"
"110",110,"X1","0"
"111",111,"X1","1"
"112",112,"X1","2"
"113",113,"X1","0"
"114",114,"X1","2"
"115",115,"X1","2"
"116",116,"X1","2"
"117",117,"X1","2"
"118",118,"X1","0"
"119",119,"X1","0"
"120",120,"X1","2"
"121",121,"X1","1"
"122",122,"X1","1"
"123",123,"X1","0"
"124",124,"X1","0"
"125",125,"X1","0"
"126",126,"X1","0"
"127",127,"X1","0"
"128",128,"X1","0"
"129",129,"X1","0"
"130",130,"X1","2"
"131",131,"X1","0"
"132",132,"X1","2"
"133",133,"X1","2"
"134",134,"X1","0"
"135",135,"X1","2"
"136",136,"X1","0"
"137",137,"X1","2"
"138",138,"X1","0"
"139",139,"X1","2"
"140",140,"X1","2"
"141",141,"X1","1"
"142",142,"X1","0"
"143",143,"X1","0"
"144",144,"X1","1"
"145",145,"X1","2"
"146",146,"X1","0"
"147",147,"X1","0"
"148",148,"X1","2"
"149",149,"X1","0"
"150",150,"X1","2"
"151",151,"X1","2"
"152",152,"X1","2"
"153",153,"X1","1"
"154",154,"X1","0"
"155",155,"X1","0"
"156",156,"X1","0"
"157",157,"X1","0"
"158",158,"X1","0"
"159",159,"X1","2"
"160",160,"X1","0"
"161",161,"X1","2"
"162",162,"X1","0"
"163",163,"X1","0"
"164",164,"X1","0"
"165",165,"X1","1"
"166",166,"X1","2"
"167",167,"X1","2"
"168",168,"X1","1"
"169",169,"X1","0"
"170",170,"X1","0"
"171",171,"X1","1"
"172",172,"X1","0"
"173",173,"X1","0"
"174",174,"X1","0"
"175",175,"X1","0"
"176",176,"X1","0"
"177",177,"X1","1"
"178",178,"X1","0"
"179",179,"X1","0"
"180",180,"X1","1"
"181",181,"X1","0"
"182",182,"X1","1"
"183",183,"X1","0"
"184",184,"X1","1"
"185",185,"X1","2"
"186",186,"X1","0"
"187",187,"X1","2"
"188",188,"X1","2"
"189",189,"X1","0"
"190",190,"X1","2"
"191",191,"X1","0"
"192",192,"X1","0"
"193",193,"X1","2"
"194",194,"X1","2"
"195",195,"X1","2"
"196",196,"X1","0"
"197",197,"X1","2"
"198",198,"X1","0"
"199",199,"X1","0"
"200",200,"X1","2"
"201",201,"X1","1"
"202",202,"X1","1"
"203",203,"X1","1"
"204",204,"X1","0"
"205",205,"X1","0"
"206",206,"X1","2"
"207",207,"X1","2"
"208",208,"X1","2"
"209",209,"X1","2"
"210",210,"X1","1"
"211",211,"X1","0"
"212",212,"X1","2"
"213",213,"X1","1"
"214",214,"X1","2"
"215",215,"X1","2"
"216",216,"X1","2"
"217",217,"X1","1"
"218",218,"X1","0"
"219",219,"X1","0"
"220",220,"X1","0"
"221",221,"X1","1"
"222",222,"X1","1"
"223",1,"X3","2"
"224",2,"X3","2"
"225",3,"X3","0"
"226",4,"X3","0"
"227",5,"X3","0"
"228",6,"X3","0"
"229",7,"X3","0"
"230",8,"X3","2"
"231",9,"X3","2"
"232",10,"X3","2"
"233",11,"X3","2"
"234",12,"X3","0"
"235",13,"X3","0"
"236",14,"X3","0"
"237",15,"X3","2"
"238",16,"X3","0"
"239",17,"X3","1"
"240",18,"X3","2"
"241",19,"X3","0"
"242",20,"X3","2"
"243",21,"X3","0"
"244",22,"X3","2"
"245",23,"X3","0"
"246",24,"X3","0"
"247",25,"X3","2"
"248",26,"X3","2"
"249",27,"X3","2"
"250",28,"X3","0"
"251",29,"X3","2"
"252",30,"X3","2"
"253",31,"X3","2"
"254",32,"X3","2"
"255",33,"X3","1"
"256",34,"X3","2"
"257",35,"X3","2"
